Date,X,Y,Chl-a Reference,Ch-a Estimates,LSAT Reference,LSAT Estimates
,,,17.8157234,17.8157234,17.8157234,17.8157234
,,,42.1068459,42.1068459,42.1068459,42.1068459
,,,24.089529,24.089529,24.089529,24.089529
,,,37.9228859,37.9228859,37.9228859,37.9228859
,,,66.6478577,66.6478577,66.6478577,66.6478577
,,,81.1322174,81.1322174,81.1322174,81.1322174
7/1/2016 1:00,,,17.2524471,17.2524471,17.2524471,17.2524471
8/1/2016 0:30,,,16.5787201,16.5787201,16.5787201,16.5787201
9/1/2016 0:00,,,16.2888832,16.2888832,16.2888832,16.2888832
10/1/2016 0:05,,,30.1016197,30.1016197,30.1016197,30.1016197
11/1/2016 0:25,,,29.0286045,29.0286045,29.0286045,29.0286045
12/1/2016 0:35,,,44.9316101,44.9316101,44.9316101,44.9316101
1/1/2017 0:25,,,44.5955505,44.5955505,44.5955505,44.5955505
2/1/2017 0:50,,,18.8307228,18.8307228,18.8307228,18.8307228
3/1/2017 0:10,,,18.4488697,18.4488697,18.4488697,18.4488697
4/1/2017 0:30,,,28.7151852,28.7151852,28.7151852,28.7151852
5/1/2017 1:00,,,50.8819885,50.8819885,50.8819885,50.8819885
6/1/2017 0:30,,,58.6666031,58.6666031,58.6666031,58.6666031
7/1/2017 0:40,,,40.0789261,40.0789261,40.0789261,40.0789261
8/1/2017 0:05,,,22.2464199,22.2464199,22.2464199,22.2464199
9/1/2017 0:25,,,34.9271927,34.9271927,34.9271927,34.9271927
10/1/2017 0:35,,,41.1017227,41.1017227,41.1017227,41.1017227
11/1/2017 0:25,,,57.5294647,57.5294647,57.5294647,57.5294647
12/1/2017 0:05,,,27.115202,27.115202,27.115202,27.115202
1/1/2018 0:00,,,37.3752022,37.3752022,37.3752022,37.3752022
2/1/2018 0:20,,,34.7594986,34.7594986,34.7594986,34.7594986
3/1/2018 0:45,,,23.9263248,23.9263248,23.9263248,23.9263248
4/1/2018 0:00,,,33.5312119,33.5312119,33.5312119,33.5312119
5/1/2018 0:40,,,49.9478645,49.9478645,49.9478645,49.9478645
6/1/2018 0:05,,,24.7194901,24.7194901,24.7194901,24.7194901
7/1/2018 0:15,,,17.6949272,17.6949272,17.6949272,17.6949272
8/1/2018 1:00,,,25.3161049,25.3161049,25.3161049,25.3161049
9/1/2018 0:25,,,32.443779,32.443779,32.443779,32.443779
10/1/2018 0:05,,,37.4179726,37.4179726,37.4179726,37.4179726
11/1/2018 0:00,,,51.2418938,51.2418938,51.2418938,51.2418938
12/1/2018 0:10,,,55.4586792,55.4586792,55.4586792,55.4586792
1/1/2019 0:30,,,43.1094513,43.1094513,43.1094513,43.1094513
2/1/2019 0:20,,,16.7421932,16.7421932,16.7421932,16.7421932
3/1/2019 0:10,,,44.3336143,44.3336143,44.3336143,44.3336143
4/1/2019 0:05,,,52.9123039,52.9123039,52.9123039,52.9123039
5/1/2019 0:15,,,56.9331245,56.9331245,56.9331245,56.9331245
6/1/2019 1:00,,,23.1598835,23.1598835,23.1598835,23.1598835
7/1/2019 0:00,,,22.2589359,22.2589359,22.2589359,22.2589359
8/1/2019 0:35,,,23.8872623,23.8872623,23.8872623,23.8872623
9/1/2019 0:00,,,32.5367813,32.5367813,32.5367813,32.5367813
10/1/2019 0:10,,,32.6233597,32.6233597,32.6233597,32.6233597
11/1/2019 0:30,,,27.7259007,27.7259007,27.7259007,27.7259007
12/1/2019 23:55,,,36.3177223,36.3177223,36.3177223,36.3177223
1/1/2020 0:00,,,27.1439323,27.1439323,27.1439323,27.1439323
2/1/2020 0:00,,,40.4342346,40.4342346,40.4342346,40.4342346
3/1/2020 0:25,,,40.2747192,40.2747192,40.2747192,40.2747192
4/1/2020 0:15,,,28.9278202,28.9278202,28.9278202,28.9278202
5/1/2020 0:25,,,44.3261414,44.3261414,44.3261414,44.3261414
6/1/2020 0:00,,,28.633255,28.633255,28.633255,28.633255
7/1/2020 0:00,,,18.8155518,18.8155518,18.8155518,18.8155518
8/1/2020 0:45,,,23.7472782,23.7472782,23.7472782,23.7472782
,,,29.2420254,29.2420254,29.2420254,29.2420254
,,,39.831501,39.831501,39.831501,39.831501
,,,49.9737511,49.9737511,49.9737511,49.9737511
,,,50.6416512,50.6416512,50.6416512,50.6416512
,,,30.4777775,30.4777775,30.4777775,30.4777775
,,,30.8005753,30.8005753,30.8005753,30.8005753
,,,20.7036457,20.7036457,20.7036457,20.7036457
,,,24.156229,24.156229,24.156229,24.156229
,,,16.5470562,16.5470562,16.5470562,16.5470562
,,,22.2128639,22.2128639,22.2128639,22.2128639
,,,24.5813694,24.5813694,24.5813694,24.5813694
,,,21.8071308,21.8071308,21.8071308,21.8071308
,,,19.1990299,19.1990299,19.1990299,19.1990299
,,,29.8867683,29.8867683,29.8867683,29.8867683
,,,33.3252106,33.3252106,33.3252106,33.3252106
,,,59.6119576,59.6119576,59.6119576,59.6119576
